Costo_aleatorio_inicial,Costo_optimo_local
31280.8,18574.2
35088.7,13031.4
27712.3,16609.7
33431.4,14354.4
29396.4,16173.8
26583.5,18854.7
31091.6,22756.1
28063.6,21342.9
29433.3,16107.6
30254.3,21346.6
34278.7,13072.9
32153.5,17942.9
